match_id,event_component_id,event_date_utc,event_city_name,event_year,dominant_hazard,control_component_id,control_city_name,placebo_source_event_component_id,placebo_date_utc,placebo_source_event_year,placebo_source_rule,placebo_year_distance,placebo_month_distance,event_gpm_event_subset_precip_mm_est,control_gpm_event_subset_precip_mm_est,placebo_event_gpm_event_subset_precip_mm_est,observed_diff,placebo_diff,observed_minus_placebo_diff,placebo_status,event_country
3944|2020-01-29|Belgorod,3944,2020-01-29,Belgorod,2020,low_vis_5km,7378,Young Leninist,3944.0,2021-01-23,2021.0,same_control_component_hazard_cross_year_month_window,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,Russia
3944|2020-01-29|Belgorod,3944,2020-01-29,Belgorod,2020,low_vis_5km,6673,Лобаново,3944.0,2021-01-23,2021.0,same_control_component_hazard_cross_year_month_window,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,Russia
3944|2020-11-04|Belgorod,3944,2020-11-04,Belgorod,2020,fog,6031,Ulyanovsk,,,,missing_control_day_donor,,,0.0,0.001667,,-0.001667,,,missing_placebo_or_control_metric,Russia
3944|2020-11-04|Belgorod,3944,2020-11-04,Belgorod,2020,fog,7378,Young Leninist,,,,missing_control_day_donor,,,0.0,0.341667,,-0.341667,,,missing_placebo_or_control_metric,Russia
3944|2020-11-04|Belgorod,3944,2020-11-04,Belgorod,2020,fog,6673,Лобаново,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,Russia
6403|2020-02-01|Nizhnekamsk,6403,2020-02-01,Nizhnekamsk,2020,low_ceiling_300m,6031,Ulyanovsk,,,,missing_control_day_donor,,,0.0,0.016667,,-0.016667,,,missing_placebo_or_control_metric,Russia
6403|2020-02-01|Nizhnekamsk,6403,2020-02-01,Nizhnekamsk,2020,low_ceiling_300m,6242,Dimitrovgrad,,,,missing_control_day_donor,,,0.0,0.136667,,-0.136667,,,missing_placebo_or_control_metric,Russia
6403|2020-02-01|Nizhnekamsk,6403,2020-02-01,Nizhnekamsk,2020,low_ceiling_300m,6673,Лобаново,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,Russia
6403|2020-01-21|Nizhnekamsk,6403,2020-01-21,Nizhnekamsk,2020,low_ceiling_1000m,6031,Ulyanovsk,6403.0,2021-01-24,2021.0,same_control_component_hazard_cross_year_month_window,1.0,0.0,0.0,0.27,0.037778,-0.27,-0.232222,-0.037778,ok_control_day,Russia
6403|2020-01-21|Nizhnekamsk,6403,2020-01-21,Nizhnekamsk,2020,low_ceiling_1000m,6242,Dimitrovgrad,6403.0,2021-01-24,2021.0,same_control_component_hazard_cross_year_month_window,1.0,0.0,0.0,0.028333,0.0,-0.028333,-0.028333,0.0,ok_control_day,Russia
