component_id,country,city_name,centroid_lat,centroid_lon,need_composite_z,support_residual_z,residual_public_support_gap_z,canonical_2024_q75,denominator_uncertainty_flag,available_field_expected_support_z,available_field_support_residual_z,available_field_q75,within_between_expected_support_z,within_between_support_residual_z,within_between_q75,country_fe_expected_support_z,country_fe_support_residual_z,country_fe_q75,need_no_hazard_z,no_hazard_support_residual_z,no_hazard_q75,dirichlet_selection_count,dirichlet_selection_frequency,weight_stability_class,model_core_primary_available_country_fe,graded_core_primary_available_within_between_frequency
1137,Malaysia,Taiping,4.856310510537072,100.72689961583175,1.0905067494646552,-1.483992971227723,1.483992971227723,True,True,0.6503814447743549,-1.967710771396161,True,0.4908980082284677,-1.808227334850274,True,0.15427005066386817,-1.4715993772856744,True,1.3805791841863986,-2.1387141783930703,True,854,0.854,>=0.80,True,True
1152,Canada,Lethbridge,49.69948722404636,-112.80921814620775,1.0922239384939931,-1.1100759608257047,1.1100759608257047,True,True,0.625214421264917,-0.8983741001396134,True,0.6704293602965495,-0.9435890391712459,True,1.1254631837251592,-1.3986228625998556,True,0.3431888354440965,-0.7703758259109685,False,582,0.582,0.50-<0.80,True,True
1256,New Zealand,Tauranga,-37.69198655487176,176.19086639102127,1.310908998003709,-1.3113986970541551,1.3113986970541551,True,True,0.7933692122864915,-1.0038578653855001,True,0.6948983288104299,-0.9053869819094386,True,0.5425366512335649,-0.7530253043325735,True,0.5953613465003533,-0.785065032113179,False,863,0.863,>=0.80,True,True
1258,México,San José del Cabo,23.0867124120169,-109.71536599108931,0.666427267539355,-0.7534864346984844,0.7534864346984844,True,False,0.43698799269218697,-0.9319066858500853,True,0.4901765706999308,-0.9850952638578292,True,0.13839378243629108,-0.6333124755941895,True,0.8475335806087959,-1.0128669688251846,True,553,0.553,0.50-<0.80,True,True
1309,Romania,Sibiu,45.791317739939686,24.14707139933884,1.2115710931187575,-1.0965152488491203,1.0965152488491203,True,False,0.5451435719349249,-0.9104205381763806,True,0.6828977114194503,-1.048174677660906,True,0.636038343706117,-1.0013153099475727,True,0.49302944474619087,-0.7759840310304567,False,682,0.682,0.50-<0.80,True,True
1311,Russia,Petrozavodsk,61.78170165167181,34.35952723421428,1.0021976732282971,-0.7606858381805883,0.7606858381805883,True,True,0.5228372050629759,-0.9866158251223521,True,0.656935418944747,-1.1207140390041233,True,0.29488220128814496,-0.7586608213475212,True,0.610934088729124,-0.9100540076758622,False,874,0.874,>=0.80,True,True
1349,Thailand,Ranong,9.960240081250754,98.62388022217264,1.1227384180738111,-0.7482647916581695,0.7482647916581695,True,True,0.47374523006868136,-0.8497062381263661,True,0.5077718805993598,-0.8837328886570446,True,0.5409155953295534,-0.9168766033872382,True,0.7807248286812358,-0.8077915914861993,True,689,0.689,0.50-<0.80,True,True
1367,Ecuador,Pasaje,-3.331004625007118,-79.80062246196714,0.7547679786077022,-1.0919138326626163,1.0919138326626163,True,False,0.4793517875342025,-1.2752477562468583,True,0.3237746294720639,-1.1196705981847197,True,0.47348592336809947,-1.2693818920807551,True,0.9584455333426475,-1.3778009653881456,True,586,0.586,0.50-<0.80,True,True
1373,Dominican Republic,Bonao,18.923978334175057,-70.40362663878751,0.5892132897029335,-0.9572061013430448,0.9572061013430448,True,True,0.1325224426936187,-1.1450959911671232,True,0.17025410632260685,-1.1828276547961114,True,0.2537315064264274,-1.266305054899932,True,0.7505912653770338,-1.2670079401187528,True,330,0.33,0.20-<0.50,True,False
1406,Hungary,Miskolc,48.09484280370037,20.76587914069425,1.8191614744183908,-1.053081720007627,1.053081720007627,True,True,0.8590068463775197,-0.9771176257240077,True,0.8909824736575076,-1.0090932530039955,True,0.8206002036897446,-0.9387109830362326,True,1.2558604751655655,-0.9856230006596176,True,817,0.817,>=0.80,True,True
