draw,retained_2024,countries_2024,overlap_with_primary_count_2024,jaccard_vs_primary_q75_2024,w_demand,w_hazard,w_urban_form
68,776,98,451,0.46209016393442626,0.0437966911488987,0.2317961820673165,0.7244071267837847
69,779,98,465,0.48186528497409326,0.0668415180041196,0.2409838782176596,0.6921746037782207
70,743,85,538,0.6285046728971962,0.3623003211833709,0.2051254486244559,0.4325742301921733
71,670,76,438,0.4960362400906002,0.6046745127439799,0.1293903786587362,0.265935108597284
72,686,84,435,0.48226164079822614,0.4391840067707809,0.0237814730708788,0.5370345201583402
73,614,75,399,0.4607390300230947,0.398401349410894,0.549847906670523,0.051750743918583
74,648,79,421,0.479498861047836,0.5618924873716001,0.0210998767611241,0.4170076358672757
75,678,71,380,0.40042149631190727,0.6891342070009594,0.164975823078178,0.1458899699208625
76,749,96,507,0.5677491601343785,0.1317422958341687,0.3323423938319966,0.5359153103338345
77,598,83,414,0.49580838323353293,0.1938776220210251,0.5688713230503358,0.237251054928639
78,655,77,393,0.4304490690032859,0.6727976431527515,0.11287557535837,0.2143267814888784
79,706,88,571,0.7264631043256997,0.2532522611024877,0.363452249002872,0.3832954898946402
80,693,72,362,0.36863543788187375,0.6820809273921069,0.2759043199111411,0.0420147526967518
81,620,75,368,0.40753045404208194,0.7027131376485845,0.0315233177846142,0.2657635445668012
82,718,76,487,0.5521541950113379,0.5220076495377152,0.2996294581180979,0.1783628923441869
83,774,92,461,0.4782157676348548,0.2312474985909119,0.0990180143132161,0.6697344870958719
84,548,78,331,0.3813364055299539,0.1846537944077985,0.6879949830932389,0.1273512224989625
85,645,76,397,0.44160177975528364,0.6520205570727411,0.0623080577267378,0.285671385200521
86,667,77,474,0.5616113744075829,0.4345232098768004,0.4383497145398372,0.1271270755833623
87,662,79,438,0.5005714285714286,0.5444903836502629,0.0593909388686193,0.3961186774811176
88,687,80,469,0.5397008055235903,0.5183812415143203,0.1194567255451332,0.3621620329405464
89,636,91,479,0.5928217821782178,0.1335503004093486,0.513900779879535,0.3525489197111163
90,652,76,457,0.5401891252955082,0.4179286491276737,0.4639945557719218,0.1180767951004044
91,705,89,578,0.7429305912596401,0.2707003281098734,0.3693251238549929,0.3599745480351338
92,669,77,474,0.5602836879432624,0.4352928027702074,0.4359871899979071,0.1287200072318853
93,694,71,356,0.35995955510616784,0.6904207934673116,0.2746015645907608,0.0349776419419276
94,513,74,265,0.29477196885428253,0.1392768729906866,0.8558308457021919,0.0048922813071214
95,769,99,463,0.48380355276907,0.017152146706929,0.3369079792029008,0.6459398740901702
96,773,98,469,0.49109947643979057,0.1336912987309453,0.1759551655550269,0.6903535357140279
97,764,99,471,0.4989406779661017,0.036930883931443,0.3526596494906502,0.6104094665779068
98,766,97,514,0.5692137320044297,0.1722480872132002,0.2750221777408623,0.5527297350459375
99,658,79,504,0.6260869565217392,0.3011969772753817,0.462910000268388,0.2358930224562302
100,658,70,300,0.29732408325074333,0.8631207767590168,0.0707194668823655,0.0661597563586174
101,701,69,332,0.3254901960784314,0.7418229644934731,0.247459145814565,0.0107178896919619
102,737,96,505,0.5719139297848245,0.1129891266745909,0.3858599459871199,0.5011509273382891
103,521,82,282,0.31685393258426964,0.0363389484354704,0.8003713323866202,0.1632897191779094
104,704,86,586,0.7620286085825748,0.3329946714076311,0.3773629540585216,0.2896423745338472
105,627,81,443,0.5305389221556887,0.2687682934296409,0.5225081468956587,0.2087235596747003
106,772,96,441,0.44908350305498984,0.0626050881903159,0.1697445085523394,0.7676504032573447
107,683,68,320,0.3155818540433925,0.7814037552513984,0.1912892026147805,0.0273070421338212
108,714,90,583,0.7455242966751918,0.2784733858538916,0.3545644423948717,0.3669621717512367
109,506,78,242,0.2644808743169399,0.014410293448958,0.9440920216327712,0.0414976849182706
110,739,90,417,0.42857142857142855,0.2690683012325672,0.0019212586536037,0.7290104401138291
111,765,96,514,0.5698447893569845,0.1736028244322113,0.2749501571471029,0.5514470184206857
112,748,86,567,0.6814903846153846,0.3237981888547217,0.2593589073528756,0.4168429037924026
113,752,89,458,0.4846560846560847,0.2911607571104659,0.0817616250502293,0.6270776178393047
114,610,78,409,0.4800469483568075,0.3466752106259712,0.5478712819177589,0.1054535074562698
115,731,87,425,0.4440961337513062,0.3146179465361446,0.0049899452277484,0.680392108236107
116,630,74,351,0.3774193548387097,0.7511973925140657,0.0288879910786293,0.219914616407305
117,678,78,502,0.6070133010882709,0.4102587389317964,0.4181592675968926,0.1715819934713111
118,524,75,298,0.33979475484606614,0.1986369363384058,0.7828401380680218,0.0185229255935724
119,673,91,500,0.6067961165048543,0.1119111714319753,0.4639016233182544,0.4241872052497701
120,616,86,461,0.5719602977667494,0.1802116279521582,0.5311609076665337,0.2886274643813081
121,666,68,283,0.2736943907156673,0.8973014415927754,0.0812578550695705,0.0214407033376539
122,517,83,283,0.319774011299435,0.1127357498950472,0.799944046263594,0.0873202038413586
123,778,100,463,0.47929606625258797,0.0577889352048518,0.2597002291334345,0.6825108356617136
124,771,93,488,0.5224839400428265,0.2249336115448088,0.1690897526200089,0.6059766358351821
125,667,68,274,0.2624521072796935,0.9224586971362214,0.0698338081334261,0.0077074947303524
126,692,92,520,0.6318347509113001,0.1500568615464804,0.4250515061548088,0.4248916322987108
127,564,73,349,0.40300230946882215,0.2800314195111309,0.6538241125776109,0.0661444679112582
128,526,82,289,0.32545045045045046,0.021166970177965,0.7885931156791798,0.1902399141428551
129,720,85,595,0.7667525773195877,0.3639526802772376,0.3346688148229799,0.3013785048997825
130,639,68,265,0.25853658536585367,0.958679817988344,0.0126968882077926,0.0286232938038632
131,666,72,354,0.367601246105919,0.7429998254174707,0.1245217352228284,0.1324784393597008
132,777,98,457,0.470648815653965,0.0567074550832102,0.2182629291319112,0.7250296157848785
133,509,79,242,0.2636165577342048,0.0328968120158883,0.9646744271852454,0.0024287607988662
134,608,74,355,0.3926991150442478,0.7233874467383733,0.0046794019757494,0.2719331512858775
135,680,79,455,0.519406392694064,0.5300313921085998,0.0934895053236667,0.3764791025677335
136,763,97,481,0.5155412647374062,0.1327865660212778,0.226271686858637,0.6409417471200852
137,757,100,490,0.5337690631808278,0.0856200649332623,0.3439102381075112,0.5704696969592266
138,677,72,387,0.4112646121147715,0.6757681620956044,0.1585667818875164,0.1656650560168791
139,663,78,431,0.4881087202718007,0.6067436280308259,0.089211987550013,0.3040443844191611
140,732,93,533,0.6270588235294118,0.1897693090437344,0.3354031075832103,0.4748275833730553
141,757,95,422,0.4279918864097363,0.1166694978499693,0.1056176782249266,0.777712823925104
142,697,79,476,0.5458715596330275,0.5459821480622968,0.1582503782435576,0.2957674736941455
143,760,94,505,0.5573951434878587,0.2198270893561868,0.2193469696888654,0.5608259409549476
144,663,87,530,0.6760204081632653,0.2244918655080278,0.4626868659426536,0.3128212685493184
145,704,79,516,0.6150178784266984,0.4841967273374274,0.215352111908035,0.3004511607545377
146,691,86,565,0.7271557271557272,0.3152552575789867,0.4028900902137481,0.2818546522072652
147,687,80,468,0.5379310344827586,0.4974935750270131,0.1087104291885859,0.393795995784401
148,705,92,524,0.6298076923076923,0.1520540983534183,0.4115918243973319,0.4363540772492497
149,685,70,351,0.35634517766497464,0.6784068161342709,0.3105528718415656,0.0110403120241633
150,655,71,420,0.47404063205417607,0.5141242861541009,0.4594493613399673,0.0264263525059318
151,670,81,500,0.6090133982947625,0.3679451368350692,0.4393573179459454,0.1926975452189854
152,535,79,315,0.3616532721010333,0.1790180365813532,0.7191119265119659,0.1018700369066809
153,760,95,486,0.5254054054054054,0.187493036783456,0.2003523549475601,0.6121546082689837
154,577,74,368,0.42790697674418604,0.2930640057536527,0.6249143067864399,0.0820216874599072
155,763,95,423,0.42684157416750756,0.0897206599519701,0.1280989328598991,0.7821804071881308
156,742,87,569,0.6905339805825242,0.311757114863715,0.2666900051003207,0.4215528800359642
157,519,78,267,0.2956810631229236,0.1108607816921364,0.8405343611544317,0.0486048571534318
158,762,96,403,0.39900990099009903,0.0748957005248575,0.0644162694849387,0.8606880299902038
159,640,77,409,0.463718820861678,0.5765386441436099,0.0007982711566966,0.4226630846996934
160,768,98,470,0.4952581664910432,0.0459933021592871,0.3081266735743747,0.6458800242663381
161,755,97,525,0.5959137343927355,0.2079824095418598,0.2724158953576289,0.5196016951005114
162,780,98,449,0.45723014256619143,0.026896877404868,0.2330882999365813,0.7400148226585505
163,757,94,431,0.44114636642784033,0.1748801882291767,0.0767292656366454,0.7483905461341778
