match_id,control_id,event_component_id,event_date_utc,event_country,dominant_hazard,control_component_id,control_country,observed_event_gpm_mm,control_gpm_mm,observed_diff,false_event_source_event_component_id,false_event_date_utc,false_event_source_country,false_event_source_rule,false_event_gpm_mm,false_event_diff,observed_minus_false_event_diff,false_event_status
4339|2020-01-19|Lublin,4339|2020-01-19|Lublin|ctrl1,4339,2020-01-19,Poland,low_ceiling_1000m,3850,Poland,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4339|2020-01-19|Lublin,4339|2020-01-19|Lublin|ctrl2,4339,2020-01-19,Poland,low_ceiling_1000m,3068,Poland,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4339|2020-01-19|Lublin,4339|2020-01-19|Lublin|ctrl3,4339,2020-01-19,Poland,low_ceiling_1000m,3403,Poland,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4339|2020-12-17|Lublin,4339|2020-12-17|Lublin|ctrl1,4339,2020-12-17,Poland,low_ceiling_1000m,3850,Poland,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4339|2020-12-17|Lublin,4339|2020-12-17|Lublin|ctrl2,4339,2020-12-17,Poland,low_ceiling_1000m,3068,Poland,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4339|2020-12-17|Lublin,4339|2020-12-17|Lublin|ctrl3,4339,2020-12-17,Poland,low_ceiling_1000m,3403,Poland,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
2044|2020-12-05|Vinnytsia,2044|2020-12-05|Vinnytsia|ctrl1,2044,2020-12-05,Ukraine,fog,2506,Ukraine,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
2044|2020-12-05|Vinnytsia,2044|2020-12-05|Vinnytsia|ctrl2,2044,2020-12-05,Ukraine,fog,4030,Ukraine,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
2044|2020-12-05|Vinnytsia,2044|2020-12-05|Vinnytsia|ctrl3,2044,2020-12-05,Ukraine,fog,1089,Ukraine,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
2044|2020-11-18|Vinnytsia,2044|2020-11-18|Vinnytsia|ctrl1,2044,2020-11-18,Ukraine,low_ceiling_300m,2506,Ukraine,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
2044|2020-11-18|Vinnytsia,2044|2020-11-18|Vinnytsia|ctrl2,2044,2020-11-18,Ukraine,low_ceiling_300m,4030,Ukraine,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
2044|2020-11-18|Vinnytsia,2044|2020-11-18|Vinnytsia|ctrl3,2044,2020-11-18,Ukraine,low_ceiling_300m,1089,Ukraine,0.0,0.144444,-0.144444,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6023|2020-01-03|Ciudad Valles,6023|2020-01-03|Ciudad Valles|ctrl1,6023,2020-01-03,México,fog,5931,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6023|2020-01-03|Ciudad Valles,6023|2020-01-03|Ciudad Valles|ctrl2,6023,2020-01-03,México,fog,5730,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6023|2020-01-03|Ciudad Valles,6023|2020-01-03|Ciudad Valles|ctrl3,6023,2020-01-03,México,fog,913,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
