match_id,control_id,event_component_id,event_date_utc,event_country,dominant_hazard,control_component_id,control_country,observed_event_gpm_mm,control_gpm_mm,observed_diff,false_event_source_event_component_id,false_event_date_utc,false_event_source_country,false_event_source_rule,false_event_gpm_mm,false_event_diff,observed_minus_false_event_diff,false_event_status
4263|2020-11-09|Rzeszów,4263|2020-11-09|Rzeszów|ctrl1,4263,2020-11-09,Poland,fog,3850,Poland,0.0,0.0,0.0,4225.0,2020-01-19,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
4263|2020-11-09|Rzeszów,4263|2020-11-09|Rzeszów|ctrl2,4263,2020-11-09,Poland,fog,3403,Poland,0.0,0.0,0.0,4225.0,2020-01-19,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
4263|2020-11-09|Rzeszów,4263|2020-11-09|Rzeszów|ctrl3,4263,2020-11-09,Poland,fog,3068,Poland,0.0,0.0,0.0,4225.0,2020-01-19,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
3944|2020-01-29|Belgorod,3944|2020-01-29|Belgorod|ctrl1,3944,2020-01-29,Russia,low_vis_5km,6031,Russia,0.0,0.276667,-0.276667,,,,missing_false_event_donor,,,,missing_false_event_or_metric
3944|2020-01-29|Belgorod,3944|2020-01-29|Belgorod|ctrl2,3944,2020-01-29,Russia,low_vis_5km,7378,Russia,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
3944|2020-01-29|Belgorod,3944|2020-01-29|Belgorod|ctrl3,3944,2020-01-29,Russia,low_vis_5km,6673,Russia,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
3944|2020-11-04|Belgorod,3944|2020-11-04|Belgorod|ctrl1,3944,2020-11-04,Russia,fog,6031,Russia,0.0,0.001667,-0.001667,,,,missing_false_event_donor,,,,missing_false_event_or_metric
3944|2020-11-04|Belgorod,3944|2020-11-04|Belgorod|ctrl2,3944,2020-11-04,Russia,fog,7378,Russia,0.0,0.341667,-0.341667,,,,missing_false_event_donor,,,,missing_false_event_or_metric
3944|2020-11-04|Belgorod,3944|2020-11-04|Belgorod|ctrl3,3944,2020-11-04,Russia,fog,6673,Russia,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6403|2020-02-01|Nizhnekamsk,6403|2020-02-01|Nizhnekamsk|ctrl1,6403,2020-02-01,Russia,low_ceiling_300m,6031,Russia,0.0,0.016667,-0.016667,,,,missing_false_event_donor,,,,missing_false_event_or_metric
