component_id,year,need_composite_z,support_residual_z,residual_public_support_gap_z,canonical_2024_q75,canonical_2024_q90,canonical_2024_q95
20,2022,0.1265078795204958,-0.5655641378150876,0.5655641378150876,False,False,False
20,2023,0.1231538799524727,-0.5670394235440694,0.5670394235440694,False,False,False
20,2024,0.2887465620784686,-0.7664991591554208,0.7664991591554208,False,False,False
21,2015,0.5630735254945723,-0.6046754616891236,0.6046754616891236,False,False,False
21,2016,0.5593099743067129,-0.6202881380408907,0.6202881380408907,False,False,False
21,2017,0.4997954942715835,-0.6063144412926965,0.6063144412926965,False,False,False
21,2018,0.3692899911841815,-0.5854979376613499,0.5854979376613499,False,False,False
21,2019,0.3353151958741987,-0.5556829015964178,0.5556829015964178,False,False,False
21,2020,0.3177771773445562,-0.5378458346359812,0.5378458346359812,False,False,False
21,2021,0.2830867879627078,-0.5359894436065585,0.5359894436065585,False,False,False
21,2022,0.1786921283134248,-0.5362609199351869,0.5362609199351869,False,False,False
21,2023,0.3398568923631881,-0.5552595561364987,0.5552595561364987,False,False,False
21,2024,0.669213664879367,-0.8233538601347177,0.8233538601347177,True,False,False
22,2015,-0.5623690050809935,-1.5213042729006183,1.5213042729006183,False,False,False
22,2016,-0.5295728310204569,-1.5644019434608625,1.5644019434608625,False,False,False
22,2017,-0.529719683817363,-1.5563108924068572,1.5563108924068572,False,False,False
22,2018,-0.534837627681288,-1.5501206010385076,1.5501206010385076,False,False,False
22,2019,-0.5920675387456019,-1.5019348519768394,1.5019348519768394,False,False,False
22,2020,-0.5961332426194894,-1.50854120824103,1.50854120824103,False,False,False
22,2021,-0.5575923780634162,-1.560404557359174,1.560404557359174,False,False,False
22,2022,-0.5618670561838327,-1.540810655351441,1.540810655351441,False,False,False
22,2023,-0.5847307562284481,-1.5196879890929342,1.5196879890929342,False,False,False
22,2024,-0.6121434228239511,-1.604453951499122,1.604453951499122,False,False,False
23,2015,0.9407631505110662,-1.278683653789083,1.278683653789083,True,False,False
23,2016,0.9607773804622972,-1.2992884923239194,1.2992884923239194,True,False,False
23,2017,1.0651306727438392,-1.2979832015743376,1.2979832015743376,True,False,False
23,2018,1.0313536450778231,-1.290201463972843,1.290201463972843,True,False,False
23,2019,0.982592568408496,-1.285745146067657,1.285745146067657,True,False,False
23,2020,0.9129522953018055,-1.2740996822829946,1.2740996822829946,True,False,False
23,2021,0.9815372960451751,-1.2859488857415942,1.2859488857415942,True,False,False
23,2022,1.0299167316935696,-1.2829895642763816,1.2829895642763816,True,False,False
23,2023,1.0429141525417611,-1.283475042160268,1.283475042160268,True,False,False
23,2024,0.7820654251522532,-1.0269017227826789,1.0269017227826789,True,False,False
24,2015,0.4295092063244111,0.4328951326329057,-0.4328951326329057,False,False,False
24,2016,0.5518171258871887,0.3850940634684853,-0.3850940634684853,False,False,False
24,2017,0.4596781946029505,0.3914684431209816,-0.3914684431209816,False,False,False
24,2018,0.4163623629141321,0.4025404801050729,-0.4025404801050729,False,False,False
24,2019,0.4897515980590818,0.3954382770110396,-0.3954382770110396,False,False,False
24,2020,0.4521111949898723,0.3661430897040122,-0.3661430897040122,False,False,False
24,2021,0.53569573731552,0.3849454461609732,-0.3849454461609732,False,False,False
24,2022,0.5825241379209054,0.3797662912725621,-0.3797662912725621,False,False,False
24,2023,0.7326100543716989,0.3597615160527788,-0.3597615160527788,False,False,False
24,2024,0.1845086551691753,0.5708152215644171,-0.5708152215644171,False,False,False
25,2015,-0.5275618261553264,-0.5708405505948142,0.5708405505948142,False,False,False
25,2016,-0.4213471430954883,-0.6097605880878318,0.6097605880878318,False,False,False
25,2017,-0.3414788044206722,-0.6086836573940713,0.6086836573940713,False,False,False
25,2018,-0.3744173062782384,-0.5986491806434162,0.5986491806434162,False,False,False
25,2019,-0.4133396801284253,-0.5916628825724314,0.5916628825724314,False,False,False
25,2020,-0.4824209360294821,-0.580987227153864,0.580987227153864,False,False,False
25,2021,-0.4190347952984996,-0.5874374303484747,0.5874374303484747,False,False,False
25,2022,-0.3533258262754824,-0.5835740422816732,0.5835740422816732,False,False,False
25,2023,-0.3288685527118143,-0.6098288973089943,0.6098288973089943,False,False,False
25,2024,-0.2662582787302954,-0.7348355913916379,0.7348355913916379,False,False,False
26,2015,1.8867890122489344,-1.439791534915613,1.439791534915613,True,True,True
26,2016,1.7577482214908204,-1.4473302314301084,1.4473302314301084,True,True,False
26,2017,1.8288771084762945,-1.4454387382172205,1.4454387382172205,True,True,True
26,2018,1.785599620251082,-1.4324140202864108,1.4324140202864108,True,True,False
26,2019,1.8651217266043736,-1.43605286569165,1.43605286569165,True,True,True
26,2020,1.8541807847567928,-1.440844954045764,1.440844954045764,True,True,True
26,2021,1.85871629632657,-1.4406339533692718,1.4406339533692718,True,True,True
26,2022,1.914909119634273,-1.435451747106911,1.435451747106911,True,True,True
26,2023,1.963560031047057,-1.4395957025576445,1.4395957025576445,True,True,True
26,2024,1.7739218978694886,-1.2150956971264777,1.2150956971264777,True,True,False
27,2015,-0.2413554213060864,-0.0512570761689928,0.0512570761689928,False,False,False
27,2016,-0.2126400728466697,-0.0726731169417225,0.0726731169417225,False,False,False
27,2017,-0.2381104050587498,-0.0642522866809142,0.0642522866809142,False,False,False
27,2018,-0.233333744382971,-0.0614979162535014,0.0614979162535014,False,False,False
27,2019,-0.2362830847803227,-0.0579073263083657,0.0579073263083657,False,False,False
27,2020,-0.2201123658102967,-0.0653183361172331,0.0653183361172331,False,False,False
27,2021,-0.2500511089442643,-0.0633453760956002,0.0633453760956002,False,False,False
27,2022,-0.22296492182867,-0.0562417106955686,0.0562417106955686,False,False,False
27,2023,-0.2295612211893653,-0.0567058255701991,0.0567058255701991,False,False,False
27,2024,-0.0512765192571425,-0.3395447988071618,0.3395447988071618,False,False,False
28,2015,0.4702720603621152,0.7752312382808482,-0.7752312382808482,False,False,False
28,2016,0.6209802564803012,0.0897283633719085,-0.0897283633719085,False,False,False
28,2017,0.6092380191119993,0.698379991237623,-0.698379991237623,False,False,False
28,2018,0.0656154859057792,0.8204964252936023,-0.8204964252936023,False,False,False
28,2019,0.034384220634042,0.8910239745659966,-0.8910239745659966,False,False,False
28,2020,0.1146674623418087,0.8860059014496483,-0.8860059014496483,False,False,False
28,2021,0.1182730388469788,0.7632170260331382,-0.7632170260331382,False,False,False
28,2022,0.3361211479026241,0.7262051776031985,-0.7262051776031985,False,False,False
28,2023,0.9802387018345536,0.8232602895552673,-0.8232602895552673,False,False,False
28,2024,0.9017487688594084,1.3043472657914503,-1.3043472657914503,False,False,False
29,2015,-0.4784647802400486,0.8361759101089381,-0.8361759101089381,False,False,False
29,2016,-0.2601708340477747,0.8976976511601038,-0.8976976511601038,False,False,False
29,2017,-0.3578072638193527,0.903064263550286,-0.903064263550286,False,False,False
29,2018,-0.4724576994262003,0.8316964722896243,-0.8316964722896243,False,False,False
29,2019,-0.5863856335190023,1.1048368560924908,-1.1048368560924908,False,False,False
