component_id,year,country,city_name,centroid_lat,centroid_lon,public_hourly_surface_observation_support,denominator_uncertainty_flag,official_station_count_50km,public_hourly_station_count_50km,need_composite_z,support_residual_z,residual_public_support_gap_z,canonical_2024_q75,canonical_2024_q90,canonical_2024_q95
2863,2024,México,Tepic,21.49895416556683,-104.87806176941535,0.4167396252845386,False,1,1,0.8488981231818254,-0.7757759865953233,0.7757759865953233,True,False,False
2874,2024,Côte d'Ivoire,Dabou,5.326520356108992,-4.376279069120959,0.2074067588863596,True,27,0,0.6205081347978093,-1.8231521877309875,1.8231521877309875,True,False,False
2892,2024,South Africa,Sisulu Village,-32.94225146077392,27.731151810494104,0.3487130099807389,True,13,2,0.736530469010207,-1.253803571750992,1.253803571750992,True,False,False
2894,2024,Russia,Oryol,52.969969588085135,36.08355317797731,0.3897157532247708,True,1,0,1.4448495167362156,-1.202281556957561,1.202281556957561,True,True,False
2901,2024,Iraq,koya,36.08258405983353,44.63292283338054,0.205655752057433,True,0,0,0.7327846131073558,-0.8531345680311899,0.8531345680311899,True,False,False
2915,2024,Thailand,Nakhon Si Thammarat,8.434094389327614,99.95976580758294,0.4224012140314013,False,3,4,1.3214053543944284,-0.8732403751116139,0.8732403751116139,True,False,False
2930,2024,Venezuela,San Carlos,9.655612533044902,-68.58114512654703,0.1760637366485729,True,0,1,0.6723455672706208,-1.7601877087455409,1.7601877087455409,True,False,False
2937,2024,Spain,Fuengirola,36.54306355035559,-4.626195127760844,0.3743068931302165,True,7,5,1.269188001605703,-1.387327823590777,1.387327823590777,True,False,False
2954,2024,South Africa,East London,-33.00428747515206,27.87307303711002,0.4028483044417206,True,11,1,0.6978392280030641,-1.136171053063165,1.136171053063165,True,False,False
3013,2024,Ukraine,Mykolaiv,46.96255803649642,32.01060451948514,0.3737524076343897,False,1,2,1.0444575099521338,-1.181062289756403,1.181062289756403,True,False,False
3016,2024,Russia,Sergiyev Posad,56.30944000315393,38.14118683379869,0.2399463024572462,True,1,0,2.004113173516029,-1.949928268744994,1.949928268744994,True,True,True
3024,2024,Iran,Kamyaran,34.79531675956501,46.94375401319248,0.2070273740734255,True,1,0,0.7178890306177482,-1.011821471283756,1.011821471283756,True,False,False
3056,2024,Spain,Torremolinos,36.613529764803495,-4.522319673058799,0.3881398470787369,True,6,4,0.9081516209577124,-0.8646475791554302,0.8646475791554302,True,False,False
3084,2024,Iran,Kermanshah,34.34121945058197,47.08936862558964,0.4436759470028599,False,1,2,1.009106474212362,-1.0060164477156404,1.0060164477156404,True,False,False
3099,2024,Malaysia,Sibu,2.304622581787489,111.84455865842706,0.3353469911865989,True,2,1,0.6214900484704844,-1.0492977802481676,1.0492977802481676,True,False,False
