component_id,country,city_name,need_composite_z,public_support_z,expected_public_support_z,support_residual_z,residual_deficit_q75,available_field_expected_public_support_z,available_field_support_residual_z,available_field_q75_flag
103,Kosovo,Pejë,0.8779073228190127,-0.0803257534110425,0.281344865705688,-0.3616706191167306,False,0.47697397261297075,-0.5572997260240132,False
104,Romania,Arad,1.4443916474046508,1.881042825620792,0.8177586016857963,1.063284223934995,False,0.6757006313481436,1.2053421942726485,False
105,Belarus,Hrodna,0.388588197989718,-0.7505539375901207,0.0853096394072594,-0.8358635769973801,False,0.19704292979808216,-0.9475968673882028,False
106,Ukraine,Uzhhorod,1.647094505491674,-0.2431922445121018,0.7990656139540415,-1.0422578584661433,True,0.6788426520833071,-0.9220348965954088,True
107,North Macedonia,Gostivar,0.3924350503315634,-0.4941369340006132,0.2447447796094881,-0.7388817136101014,False,0.39155908333144573,-0.8856960173320589,False
108,Greece,Ioannina,0.3790759247318951,-0.4153095523077005,0.5186087383880356,-0.933918290695736,False,0.6740991169131638,-1.0894086692208642,False
109,Bulgaria,Sofia,1.8168867448596209,1.25335536891731,0.8409956269179519,0.4123597419993581,False,0.7560735951707424,0.4972817737465677,False
110,Moldova,Bălți,0.6906945712072061,1.365537807987719,0.3409512338076487,1.0245865741800702,False,0.5194779666677296,0.8460598413199893,False
111,Sudan,El Geneina,0.1708247282876816,-0.3811727357729189,0.1553594962229841,-0.5365322319959029,False,-0.035227527109676915,-0.34594520866324197,False
112,Turkey,Edirne,0.1778874306194729,-0.0791531146751152,0.012297550143505,-0.0914506648186203,False,0.103724885621936,-0.1828780002970512,False
113,Zambia,Mongu,-1.161605616412181,-0.1657980879408783,0.0777112709866426,-0.243509358927521,False,-0.07829012440781344,-0.08750796353306486,False
114,Botswana,Kanye,-0.4862403649986819,-1.323453106687206,0.2093134172933454,-1.5327665239805517,False,0.19399814156248404,-1.51745124824969,False
115,Egypt,Marsa Matruh,-0.6501723622253556,-0.3402606732083329,0.5070921535753656,-0.8473528267836985,False,0.21051173224800765,-0.5507724054563405,False
116,Lesotho,Maseru,-0.7086339459749863,0.9482087111903654,0.2121502004474747,0.7360585107428906,False,0.16328089127151363,0.7849278199188519,False
